NOMBRE_REGION,BARRIOS
"COMUNA 01","Retiro, San Nicolas, Puerto Madero, San Telmo, Montserrat y Constitucion"
"COMUNA 02","Recoleta"
"COMUNA 03","Balvanera y San Cristobal"
"COMUNA 04","La Boca, Barracas, Parque Patricios, y Nueva Pompeya"
"COMUNA 05","Almagro y Boedo"
"COMUNA 06","Caballito"
"COMUNA 07","Flores y Parque Chacabuco"
"COMUNA 08","Villa Soldati, Villa Riachuelo y Villa Lugano"
"COMUNA 09","Liniers, Mataderos y Parque Avellaneda"
"COMUNA 10","Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro"
"COMUNA 11","Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita"
"COMUNA 12","Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón"
"COMUNA 13","Núñez, Belgrano y Colegiales"
"COMUNA 14","Palermo"
"COMUNA 15","Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas"
